Fecha;dia
2023-01-01;domingo
2023-01-02;lunes
2023-04-07;viernes
2023-04-08;sábado
2023-05-01;lunes
2023-05-07;domingo
2023-05-21;domingo
2023-06-21;miércoles
2023-06-26;lunes
2023-07-16;domingo
2023-08-15;martes
2023-09-18;lunes
2023-09-19;martes
2023-10-09;lunes
2023-10-27;viernes
2023-11-01;miércoles
2023-12-08;viernes
2023-12-17;domingo
2023-12-25;lunes
2024-01-01;lunes
2024-03-29;viernes
2024-03-30;sábado
2024-05-01;miércoles
2024-05-21;martes
2024-06-09;domingo
2024-06-20;jueves
2024-06-29;sábado
2024-07-16;martes
2024-08-15;jueves
2024-09-18;miércoles
2024-09-19;jueves
2024-09-20;viernes
2024-10-12;sábado
2024-10-27;domingo
2024-10-31;jueves
2024-11-01;viernes
2024-12-08;domingo
2024-12-25;miércoles
2025-01-01;miércoles
2025-04-18;viernes
2025-04-19;sábado
2025-05-01;jueves
2025-05-21;miércoles
2025-06-20;viernes
2025-06-29;domingo
2025-07-16;miércoles
2025-08-15;viernes
2025-09-18;jueves
2025-09-19;viernes
2026-01-01;jueves
2026-04-03;viernes
2026-04-04;sábado
2026-05-01;viernes
2026-05-21;jueves
2026-06-21;domingo
2026-06-29;lunes
2026-07-16;jueves
2026-08-15;sábado
2026-09-18;viernes
2026-09-19;sábado
2026-10-12;lunes
2026-10-31;sábado
2026-11-01;domingo
2026-12-08;martes
2026-12-25;viernes
2027-01-01;viernes
2027-03-26;viernes
2027-03-27;sábado
2027-05-01;sábado
2027-05-21;viernes
2027-06-28;lunes
2027-07-16;viernes
2027-08-15;domingo
2027-09-17;viernes
2027-09-18;sábado
2027-09-19;domingo
